accession_number,alternate_accession_number,image_file,title,record_type,status,collection_name,location,historical_theme,neighborhood,time_period,people,donor,object_date,format_material,condition,rights_status,sensitivity,is_public,photo_credit,description,significance,provenance,notes,tags,
SRM-2026-140,,coll116.jpg,Portable audiovisual player or projector unit,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,late 20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Portable electronic audiovisual unit with carrying handle, speaker grille, and control panel.",Represents presentation or recording technology associated with Richard Beadle.,Associated by user instruction with Richard Beadle camera equipment.,Exact make and model still need confirmation from close physical inspection.,Richard Beadle; audiovisual equipment; projector; media technology,
SRM-2026-141,,coll117.jpg,Large metal motion-picture reel,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Large metal reel for winding or storing motion-picture film.,Extends the Richard Beadle-associated media equipment grouping with film handling components.,Associated by user instruction with Richard Beadle camera equipment.,"Created from original SRM/9.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll016.png at distance 24, but the image was triaged as likely not represented. Review before publishing or deduplicating.",Richard Beadle; film reel; analog media; movie equipment,
SRM-2026-142,,coll118.jpg,Assorted cassette tapes and recording media,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,late 20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Assortment of cassette tapes and related recording media laid out for documentation.,Represents the smaller-format audio or image recording media associated with Richard Beadle's equipment group.,Associated by user instruction with Richard Beadle camera equipment.,"Created from original SRM/10.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll002.png at distance 40, but the image was triaged as likely not represented. Review before publishing or deduplicating.",Richard Beadle; cassette tapes; recording media; audiovisual materials,
SRM-2026-143,,coll119.jpg,Richard Beadle camera equipment with leather pouch,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Piece of Richard Beadle camera equipment photographed with a small leather pouch.,Part of the museum's group of photographic tools and accessories associated with Richard Beadle.,Associated by user instruction with Richard Beadle camera equipment.,User confirmed during 2026-07-18 metadata review that this object belongs with the Richard Beadle camera equipment group.,Richard Beadle; camera equipment; photography accessory; leather pouch,
SRM-2026-144,,coll120.jpg,Packets of photographic film,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Assortment of boxed packets of photographic film and related darkroom or camera supplies.,Documents consumable photographic materials preserved with the Richard Beadle camera equipment group.,Associated by user instruction with Richard Beadle camera equipment.,User confirmed during 2026-07-18 metadata review that the grouped objects are packets of film.,Richard Beadle; photographic film; film packets; camera supplies,
SRM-2026-145,,coll121.jpg,Kodak box camera with film cartridge,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Compact Kodak box-style camera shown with packaged film or cartridge components.,Adds another portable photographic device to the Richard Beadle-associated equipment grouping.,Associated by user instruction with Richard Beadle camera equipment.,"Created from original SRM/13.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll016.png at distance 46, but the image was triaged as likely not represented. Review before publishing or deduplicating.",Richard Beadle; Kodak camera; box camera; film cartridge,
SRM-2026-146,,coll122.jpg,Alamo Theatre ephemera and movie memorabilia assortment,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,Farish Street,1970s,,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Assortment of Alamo Theatre and movie-related ephemera including a September 1976 promotional calendar, snack packaging, and film advertising material.",Documents entertainment culture and the material life of the Alamo Theatre within Farish Street history.,,Visual review confirms the presence of Alamo Theatre promotional material and mid-1970s movie ephemera.,Alamo Theatre; Farish Street; movie ephemera; entertainment history; 1970s,
SRM-2026-147,,coll123.jpg,Light-colored felt hat,Artifact,In Storage,SRM Collection,Object Storage,Material Culture and Interpretation,,20th century,,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Single light-colored felt hat photographed as a standalone accessory.,Represents personal dress and everyday material culture in the collection.,,"Created from original SRM/15.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll092.png at distance 24, but the image was triaged as likely not represented. Review before publishing or deduplicating.",hat; felt hat; clothing accessory,
SRM-2026-148,,coll124.jpg,"Personal effects group with hat, handbag, and printed materials",Artifact,In Storage,SRM Collection,Object Storage,Family And Local Life,,20th century,,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Grouped personal effects including a hat, handbag, printed cards, and small paper items.",Suggests the preservation of everyday personal belongings and commemorative materials.,,Individual paper items would benefit from closer object-level identification.,personal effects; handbag; hat; ephemera,
SRM-2026-149,,coll125.jpg,Photography slides and slide mounts,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Grouped photographic slides and related slide mounts or holders from the Richard Beadle camera collection.,"Represents the storage, viewing, and preservation of slide-based photographic work associated with Richard Beadle.",Associated by user instruction with Richard Beadle camera equipment.,User confirmed during 2026-07-18 metadata review that the grouped items are photography slides.,Richard Beadle; photography slides; slide mounts; photographic media,
SRM-2026-150,,coll126.jpg,Vintage camera with flash attachment and cable release,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Vintage camera body shown with flash attachment, cord, and related accessories.",Adds another photographic device to the Richard Beadle-associated equipment group.,Associated by user instruction with Richard Beadle camera equipment.,"Created from original SRM/18.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll008.png at distance 48, but the image was triaged as likely not represented. Review before publishing or deduplicating.",Richard Beadle; vintage camera; flash attachment; photography equipment,
SRM-2026-151,,coll127.jpg,Photographic accessory set with slide viewers,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Set of photographic accessories including small viewers or holders for slides or negatives.,Documents the supporting tools used for viewing and handling photographic materials.,Associated by user instruction with Richard Beadle camera equipment.,"Created from original SRM/19.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll007.png at distance 35, but the image was triaged as likely not represented. Review before publishing or deduplicating.",Richard Beadle; slide viewer; photo accessories; negatives,
SRM-2026-152,,coll128.jpg,Eyeglasses in case,Artifact,In Storage,SRM Collection,Object Storage,Material Culture and Interpretation,,20th century,,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Pair of eyeglasses stored in a fitted case.,Represents a personal everyday object preserved within the collection.,,"Created from original SRM/20.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll092.png at distance 33, but the image was triaged as likely not represented. Review before publishing or deduplicating.",eyeglasses; case; personal effects,
SRM-2026-153,,coll129.jpg,Camera equipment group with twin-lens camera and accessories,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Grouping of camera-related equipment including a twin-lens camera, case, and small accessories.",Documents the range of photographic equipment associated with Richard Beadle.,Associated by user instruction with Richard Beadle camera equipment.,"Created from original SRM/21.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll006.png at distance 53, but the image was triaged as likely not represented. Review before publishing or deduplicating.",Richard Beadle; camera equipment; twin-lens camera; photography accessories,
SRM-2026-154,,coll130.jpg,Leather camera or equipment case,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Leather carrying case for camera or related equipment.,Represents the storage and transport accessories that accompanied Richard Beadle's photographic tools.,Associated by user instruction with Richard Beadle camera equipment.,"Created from original SRM/22.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll006.png at distance 43, but the image was triaged as likely not represented. Review before publishing or deduplicating.",Richard Beadle; camera case; leather case; photography equipment,
SRM-2026-155,,coll131.jpg,Pair of photographic reflector lamps,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Two reflector-style lamps used for lighting in photographic or media production settings.,Documents lighting equipment associated with Richard Beadle's camera and media practice.,Associated by user instruction with Richard Beadle camera equipment.,"Created from original SRM/23.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll002.png at distance 31, but the image was triaged as likely not represented. Review before publishing or deduplicating.",Richard Beadle; reflector lamp; studio lighting; photography equipment,
SRM-2026-156,,coll132.jpg,Ricohflex twin-lens reflex camera,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Ricohflex twin-lens reflex camera photographed front-on against a dark backdrop.,Adds an identifiable camera model to the Richard Beadle-associated photographic equipment group.,Associated by user instruction with Richard Beadle camera equipment.,"Created from original SRM/24.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll007.png at distance 54, but the image was triaged as likely not represented. Review before publishing or deduplicating.",Richard Beadle; Ricohflex; twin-lens reflex camera; photography equipment,
SRM-2026-157,,coll133.jpg,Assorted photographic flash reflectors,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Grouping of reflector bowls and flash components used with photographic lighting equipment.,Documents accessory lighting hardware associated with Richard Beadle's camera equipment.,Associated by user instruction with Richard Beadle camera equipment.,"Created from original SRM/25.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll092.png at distance 37, but the image was triaged as likely not represented. Review before publishing or deduplicating.",Richard Beadle; flash reflector; studio lighting; photography accessories,
SRM-2026-158,,coll134.jpg,Framed photograph of doctor examining child with mother present,Artifact,In Storage,SRM Collection,Object Storage,Midwives and Motherhood,,20th century,unidentified doctor; unidentified mother; unidentified child,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Framed black-and-white photograph showing a doctor examining a child while the mother looks on.,Documents family healthcare and community medical care in a Black domestic or clinic setting.,,"Created from original SRM/26.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll005.png at distance 43, but the image was triaged as likely not represented. Review before publishing or deduplicating.",medical care; family; child; doctor; photograph,
SRM-2026-159,,coll135.jpg,Framed photograph of man playing bowed string instrument,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,unidentified musician,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Framed black-and-white photograph of a man playing a bowed string instrument, likely a handmade fiddle or violin.",Represents vernacular music-making and cultural performance within the collection.,,"Created from original SRM/27.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll016.png at distance 26, but the image was triaged as likely not represented. Review before publishing or deduplicating.",musician; bowed string instrument; photograph; vernacular music,
SRM-2026-161,,coll136.jpg,Bronze-toned sculpture of multigenerational family group,Artifact,In Storage,SRM Collection,Object Storage,Family And Local Life,,20th century,,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Sculptural figure group showing multiple generations of a family standing together on a shared base.,Represents family continuity and intergenerational memory through three-dimensional art.,,"Created from original SRM/31.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll024.png at distance 42, but the image was triaged as likely not represented. Review before publishing or deduplicating.",sculpture; family group; multigenerational; artwork,
SRM-2026-162,,coll137.jpg,Dr. C.L. Barnes Dentist sign,Artifact,In Storage,SRM Collection,Object Storage,Black Business and Professional Life,"Jackson, Mississippi",20th century,Dr. C.L. Barnes,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Painted sign reading ""Dr. C.L. Barnes Dentist.""",Documents Black professional practice and neighborhood business identity in Jackson.,,"Created from original SRM/32.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll016.png at distance 37, but the image was triaged as likely not represented. Review before publishing or deduplicating.",Dr. C.L. Barnes; dentist; sign; Black professional history,
SRM-2026-163,,coll138.jpg,Framed photograph of Otis Grocery Store on Farish Street,Artifact,In Storage,SRM Collection,Object Storage,Black Business and Professional Life,Farish Street,20th century,unidentified people,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Framed black-and-white photograph showing Otis Grocery Store on Farish Street with several people posed outside the building.,Documents a Farish Street commercial site and contributes to the record of Black neighborhood business life in Jackson.,,User identified the site during 2026-07-18 metadata review as Otis Grocery Store on Farish Street.,Otis Grocery Store; Farish Street; business exterior; Jackson; neighborhood commerce,
SRM-2026-164,,coll139.jpg,Sony Walkman cassette player,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,late 20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Portable Sony Walkman cassette player from the Richard Beadle camera and media equipment group.,Represents consumer audio technology preserved alongside Richard Beadle's broader media equipment collection.,Associated by user instruction with Richard Beadle camera equipment.,User confirmed during 2026-07-18 metadata review that the device is a Walkman.,Richard Beadle; Sony Walkman; cassette player; audio equipment,
SRM-2026-165,,coll140.jpg,Small camera and accessory group,Artifact,In Storage,SRM Collection,Object Storage,Arts And Culture,,20th century,Richard Beadle,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Grouping of a compact camera with accessory units laid out for documentation.,Represents portable photographic tools associated with Richard Beadle.,Associated by user instruction with Richard Beadle camera equipment.,"Created from original SRM/37.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll093.png at distance 29, but the image was triaged as likely not represented. Review before publishing or deduplicating.",Richard Beadle; compact camera; accessories; photography equipment,
SRM-2026-168,,coll141.jpg,Snowball fight in Jackson,Artifact,In Storage,SRM Collection,Object Storage,Family And Local Life,"Jackson, Mississippi",20th century,unidentified people,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Sepia-toned photograph showing a snowball fight scene in Jackson.,Captures a candid moment of leisure and everyday community life in Jackson.,,User identified the scene during 2026-07-18 metadata review as a snowball fight in Jackson.,snowball fight; Jackson; winter scene; community life; photograph,
SRM-2026-169,,coll142.jpg,Pair of worn sandals or flip-flops,Artifact,In Storage,SRM Collection,Object Storage,Material Culture and Interpretation,,20th century,,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Pair of heavily worn sandals or flip-flops photographed as standalone personal objects.,Represents humble everyday footwear preserved as part of the collection's material culture holdings.,,"Created from original SRM/70.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll024.png at distance 31, but the image was triaged as likely not represented. Review before publishing or deduplicating.",sandals; footwear; personal effects,
SRM-2026-170,,coll143.jpg,School group portrait on brick steps,Artifact,In Storage,SRM Collection,Object Storage,African American Education,,early 20th century,unidentified students,,,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,Sepia-toned school group portrait showing students posed on the steps of a brick building.,Adds another student group image to the collection's educational history holdings.,,"Created from original SRM/71.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll032.png at distance 50, but the image was triaged as likely not represented. Review before publishing or deduplicating.",school portrait; students; brick school building; education,
SRM-2026-171,,coll144.jpg,"4-H Club meeting at Piney Woods School, August 5-10, 1929",Artifact,In Storage,SRM Collection,Object Storage,African American Education,Mississippi,1929,unidentified 4-H Club members,,1929,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Large group photograph labeled ""4-H Club Meeting, Piney Woods School, Miss., Aug. 5 to 10th 1929.""",Documents youth agricultural education and the role of Piney Woods School in Black educational life.,,"Created from original SRM/72.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll025.png at distance 43, but the image was triaged as likely not represented. Review before publishing or deduplicating.",4-H Club; Piney Woods School; 1929; group photograph; youth education,
SRM-2026-172,,coll145.jpg,"Civil Rights Acts and Voting Rights Act committee print, November 1975",Artifact,In Storage,SRM Collection,Object Storage,Civil Rights and Citizenship,United States,1975,,,1975,original SRM image pending identification,Stable,Rights Unknown,Review Before Public Display,TRUE,,"House Judiciary Committee print titled ""Civil Rights Acts of 1957, 1960, 1964, 1968 ... Voting Rights Act of 1965,"" issued in November 1975.",Represents a documentary artifact of federal civil rights legislation and its continuing interpretation in the post-1965 era.,,"Created from original SRM/73.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll022.png at distance 32, but the image was triaged as likely not represented. Review before publishing or deduplicating.",civil rights legislation; Voting Rights Act; House Judiciary Committee; 1975; government document,
SRM-2026-182,,coll146.jpg,Portrait photograph of James Meredith,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Civil Rights and Citizenship,Mississippi,20th century,James Meredith,,,black-and-white portrait photograph,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Black-and-white portrait photograph of James Meredith shown in close-up profile.,"Documents James Meredith, a major figure in Mississippi civil rights history and public life.",,"Identification provided by user on July 18, 2026 from image review.",James Meredith; civil rights; portrait photograph; Mississippi history,
SRM-2026-183,,coll147.jpg,Portrait photograph of James Meredith's wife,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Civil Rights and Citizenship,Mississippi,20th century,Mrs. James Meredith,,,color portrait photograph,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Color portrait photograph identified by the user as James Meredith's wife.,Extends documentation of the Meredith family and related civil rights history.,,"Identification provided by user on July 18, 2026. Personal name not yet confirmed in record.",James Meredith family; portrait; color photograph; civil rights,
SRM-2026-184,,coll148.jpg,Untitled design batch image 3 (provisional),Artifact,Needs Review,Original SRM Intake Review,Needs Review,Material Culture and Interpretation,,,,,,image pending identification,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Renamed public image coll162.png added from the Untitled design (1) batch pending identification.,"Placeholder record created so the image can be tracked, identified, and reviewed in sequence.",,Source file renamed from 3.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.,provisional intake; needs identification; July 2026 batch,
SRM-2026-185,,coll149.jpg,Man and two children on Farish Street,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Family And Local Life,Farish Street,early 20th century,,,,black-and-white street photograph,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Historic street scene showing a man and two children on Farish Street.,Documents everyday life on Farish Street in the early twentieth century.,,"Identification and date range provided by user on July 18, 2026.",Farish Street; street scene; children; early 20th century; Jackson Mississippi,
SRM-2026-186,,coll150.jpg,Untitled design batch image 5 (provisional),Artifact,Needs Review,Original SRM Intake Review,Needs Review,Material Culture and Interpretation,,,,,,image pending identification,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Renamed public image coll164.png added from the Untitled design (1) batch pending identification.,"Placeholder record created so the image can be tracked, identified, and reviewed in sequence.",,Source file renamed from 5.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.,provisional intake; needs identification; July 2026 batch,
SRM-2026-187,,coll151.jpg,Untitled design batch image 6 (provisional),Artifact,Needs Review,Original SRM Intake Review,Needs Review,Material Culture and Interpretation,,,,,,image pending identification,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Renamed public image coll165.png added from the Untitled design (1) batch pending identification.,"Placeholder record created so the image can be tracked, identified, and reviewed in sequence.",,Source file renamed from 6.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.,provisional intake; needs identification; July 2026 batch,
SRM-2026-188,,coll152.jpg,Untitled design batch image 7 (provisional),Artifact,Needs Review,Original SRM Intake Review,Needs Review,Material Culture and Interpretation,,,,,,image pending identification,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Renamed public image coll166.png added from the Untitled design (1) batch pending identification.,"Placeholder record created so the image can be tracked, identified, and reviewed in sequence.",,Source file renamed from 7.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.,provisional intake; needs identification; July 2026 batch,
SRM-2026-189,,coll153.jpg,Portrait of a man by Charles King,Artwork,Needs Review,Original SRM Intake Review,Needs Review,Portraiture and Community Memory,,20th century,,,,portrait artwork,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Portrait of a man identified by the user as a work by Charles King.,Represents portrait practice and Black artistic production connected to community memory.,,"Artist attribution provided by user on July 18, 2026.",Charles King; portrait; artwork,
SRM-2026-190,,coll154.jpg,Untitled design batch image 9 (provisional),Artifact,Needs Review,Original SRM Intake Review,Needs Review,Material Culture and Interpretation,,,,,,image pending identification,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Renamed public image coll168.png added from the Untitled design (1) batch pending identification.,"Placeholder record created so the image can be tracked, identified, and reviewed in sequence.",,Source file renamed from 9.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.,provisional intake; needs identification; July 2026 batch,
SRM-2026-191,,coll155.jpg,Harlem Street Scene,Print,Needs Review,Original SRM Intake Review,Needs Review,Arts And Culture,,1970s,Jacob Lawrence,,1975,print,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Print titled Harlem Street Scene by Jacob Lawrence.,Represents twentieth-century Black artistic expression and urban community life through the work of Jacob Lawrence.,,"Title, artist, and 1975 date provided by user on July 18, 2026.",Jacob Lawrence; Harlem Street Scene; print; 1975; Black art,
SRM-2026-192,,coll156.jpg,Drawing of Black legislators,Drawing,Needs Review,Original SRM Intake Review,Needs Review,Civic Leadership,Mississippi,19th century,,,,drawing or print reproduction,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Drawing depicting Black legislators.,Supports interpretation of Reconstruction-era Black political leadership and representation.,,"Subject identification provided by user on July 18, 2026.",Black legislators; Reconstruction; political history; drawing,
SRM-2026-193,,coll157.jpg,Painting of James Meredith and aspects of his life,Artwork,Needs Review,Original SRM Intake Review,Needs Review,Civil Rights and Citizenship,Mississippi,20th century,James Meredith,,,painting,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Painting of James Meredith incorporating episodes or aspects of his life.,Interprets the life and legacy of James Meredith through visual art.,,"Identification provided by user on July 18, 2026.",James Meredith; painting; civil rights; portrait art,
SRM-2026-194,,coll158.jpg,Typewriter,Artifact,Needs Review,Original SRM Intake Review,Needs Review,Civic Leadership,,,,,,typewriter,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Photograph of a vintage typewriter.,"Represents office, writing, or journalistic labor in historical community contexts.",,Source file renamed from 13.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.,typewriter; writing; office equipment,
SRM-2026-195,,coll159.jpg,Civil rights demonstration photograph,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Civil Rights and Citizenship,Mississippi,20th century,,,,black-and-white photograph,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Black-and-white photograph showing a civil rights demonstration or direct-action scene.,"Documents activism, protest, and movement history in Mississippi.",,Source file renamed from 14.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.,civil rights; protest; demonstration; photograph,
SRM-2026-196,,coll160.jpg,Laura J. Flowers (Former Slave),Photograph,Needs Review,Original SRM Intake Review,Needs Review,Family And Local Life,Mississippi,19th-20th century,Laura J. Flowers; Mary Collier; Lelia Jane Flowers Milner,,,black-and-white photograph with caption card,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Photograph labeled Laura J. Flowers (Former Slave). Caption states that Mary Collier taught Laura Flowers to read and write, and that after slavery Laura taught her husband and others in her home.","Documents literacy, family memory, and the legacy of emancipation through a named former slave and her descendants.",,Caption on mount reads: Donated by Ms. Lelia Jane Flowers Milner.,Laura J. Flowers; former slave; literacy; family history; photograph,
SRM-2026-197,,coll161.jpg,Woven basket or container,Artifact,Needs Review,Original SRM Intake Review,Needs Review,Arts And Culture,,,,,,woven basket or container,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Artifact photograph showing a woven basket or container with colorful contents visible inside.,Documents material culture and craft traditions.,,Source file renamed from 16.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.,basket; woven object; artifact,
SRM-2026-198,,coll162.jpg,Baby carriage or stroller,Artifact,Needs Review,Original SRM Intake Review,Needs Review,Midwives and Motherhood,,,,,,baby carriage or stroller,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Artifact photograph showing an early baby carriage or stroller.,Represents domestic and family life through everyday childcare material culture.,,Source file renamed from 17.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.,baby carriage; stroller; family life; artifact,
SRM-2026-199,,coll163.jpg,Midwife obstetrical scissors or angled birth tool,Artifact,Needs Review,Original SRM Intake Review,Needs Review,Midwives and Motherhood,Scott Ford Houses,20th century,,,,metal medical instrument,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Photograph of a metal angled cutting tool associated with childbirth or midwife practice.,Supports interpretation of maternal care and domestic health history connected to the Scott Ford story path.,,"Retitled and rethemed on July 18, 2026 after visual review and user guidance that midwife-related materials belong with Scott Ford.",midwife; obstetrics; childbirth; medical tool; Scott Ford Houses,
SRM-2026-200,,coll164.jpg,Mississippi State Board of Health midwife permit for T. J. Handy,Archive,Needs Review,Original SRM Intake Review,Needs Review,Midwives and Motherhood,Scott Ford Houses,1970s,T. J. Handy,,1973-1974,printed permit certificate,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Mississippi State Board of Health midwife permit issued to T. J. Handy of Hazlehurst in Copiah County for 1973-1974.,Documents licensed midwife practice and maternal care history relevant to the Scott Ford story path.,,"Identification updated from image text on July 18, 2026 and grouped with Scott Ford midwife-related materials per user guidance.",midwife permit; Mississippi State Board of Health; T. J. Handy; maternal care; Scott Ford Houses,
SRM-2026-201,,coll165.jpg,Mississippi birth certificate for Laverne Brown,Archive,Needs Review,Original SRM Intake Review,Needs Review,Midwives and Motherhood,Scott Ford Houses,1920s,Laverne Brown; Annie L. Brown,,1927-07-28,birth certificate,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Certified copy of a Mississippi birth certificate for Laverne Brown filed in 1927 and signed in the attending physician or midwife section.,Documents childbirth registration and maternal care history connected to the Scott Ford midwife-related materials.,,"Identification updated from image text on July 18, 2026 and grouped with Scott Ford midwife-related materials per user guidance.",birth certificate; Laverne Brown; midwife; maternal care; Scott Ford Houses,
