priority,accession_number,title,record_type,historical_theme,collection_name,people,object_date,donor,neighborhood,rights_status,observation_reasons,notes
high,SRM-2026-390,"Smith Robertson Neighborhood Folklife Festival program pages, 1984",Archive,African American Education,,Theresa H. Martin; C. C. Appleberry; Margaret Walker Alexander; Dale Danks Jr.,1984-05-04,,Smith Robertson Campus,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned, performers
high,SRM-2026-396,Unidentified image,Photograph,Material Culture and Interpretation,,,,,Geographies To Be Confirmed,Rights Unknown,Unidentified subject in title; Missing object date; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/36.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
high,SRM-2026-397,"Group portrait with handwritten identifications, undated",Photograph,Family And Local Life,,,undated,,Geographies To Be Confirmed,Rights Unknown,No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/37.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
high,SRM-2026-410,"Woman entering the Leflore County Courthouse, undated",Photograph,Civil Rights and Citizenship,,,undated,,Geographies To Be Confirmed,Rights Unknown,No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/50.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
high,SRM-2026-414,"Street Talk, May 1979",Photograph,Material Culture and Interpretation,,,1979,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/54.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
high,SRM-2026-415,"The South of the Near Future, May 1980",Archive,Civil Rights and Citizenship,,Leslie W. Dunbar,1980-05,,Atlanta Georgia,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/55.png on 2026-07-26. Author
high,SRM-2026-424,"Unidentified musician performing, undated",Photograph,Arts And Culture,,,undated,,Geographies To Be Confirmed,Rights Unknown,Unidentified subject in title; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/64.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
high,SRM-2026-428,"Focus, May 1980",Archive,Civil Rights and Citizenship,,,1980-05,,Washington D.C.,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/68.png on 2026-07-26. Corrected the year to 1980 from the cover image; publication title
high,SRM-2026-430,"Interior of an unidentified general store, undated",Photograph,Material Culture and Interpretation,,,undated,,Geographies To Be Confirmed,Rights Unknown,Unidentified subject in title; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/70.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
high,SRM-2026-440,"Rust College Alumni Newsletter, February 1981",Archive,African American Education,,,1981-02,,Holly Springs,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/80.png on 2026-07-26. Newsletter title
high,SRM-2026-452,"Southern Black Cultural Newsletter, May 1981",Archive,Arts And Culture,,John O'Neal,1981-05,,South,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/92.png on 2026-07-26. Publication title
high,SRM-2026-454,"Portrait of an unidentified woman, undated",Photograph,Family And Local Life,,,undated,,Geographies To Be Confirmed,Rights Unknown,Unidentified subject in title; No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/94.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
high,SRM-2026-455,"Portrait of an unidentified man with seasonal inscription, undated",Photograph,Family And Local Life,,,undated,,Geographies To Be Confirmed,Rights Unknown,Unidentified subject in title; No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/95.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
high,SRM-2026-456,"Unidentified man with bicycle, undated",Photograph,Family And Local Life,,,undated,,Geographies To Be Confirmed,Rights Unknown,Unidentified subject in title; No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/96.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
high,SRM-2026-459,"Older woman holding an infant, January 1979",Photograph,Midwives and Motherhood,,,1979,,Geographies To Be Confirmed,Rights Unknown,No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/99.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
high,SRM-2026-465,"Portrait of an unidentified woman, undated",Photograph,Family And Local Life,,,undated,,Geographies To Be Confirmed,Rights Unknown,Unidentified subject in title; No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,Imported from /Users/Birittany/Downloads/Stumps/105.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
high,SRM-2026-475,"Portrait of an unidentified woman in hat and fur collar, undated",Photograph,Portraiture and Community Memory,,,undated,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: may; Unidentified subject in title; No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/3.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-477,"Portrait of an unidentified infant in christening gown, undated",Photograph,Midwives and Motherhood,,,undated,,Geographies To Be Confirmed,Rights Unknown,Unidentified subject in title; No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/5.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-488,"May Day 1963, Vertilla Anderson’s first grade class",Photograph,African American Education,,Vertilla F. Anderson,1963-05,,Farish Street,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/16.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-491,"Vertilla F. Anderson portrait with floral display, May 1964",Photograph,African American Education,,Vertilla F. Anderson,1964-05,,Farish Street,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/19.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-492,"Betty Mencuree with first graders, May 1964",Photograph,African American Education,,Betty Mencuree,1964-05,,Farish Street,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/20.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-493,"Vertilla F. Anderson and class, May 1964",Photograph,African American Education,,Vertilla F. Anderson,1964-05,,Farish Street,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/21.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-496,May Day 1965 maypole at Robertson School,Photograph,African American Education,,Robert Blackmon; Mrs. Blackmon,1965-05,,Farish Street,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/24.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-499,"May Day first grade class in costume, May 1964",Photograph,African American Education,,Vertilla F. Anderson,1964-05,,Farish Street,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/27.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-502,"At the zoo, May Day 1965, Robertson School",Photograph,African American Education,,Robert Blackmon; Mrs. Blackmon,1965-05,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/30.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-509,"Hygiene class certificate for Leroy Weathersby, May 21, 1940",Archive,Black Health and Medicine,,Leroy Weathersby; Mary T. Osborne; Felix J. Underwood,1940-05-21,,Hinds County,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/37.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-512,"Ten African American Artists at Smith Robertson opening program, May 5, 1991",Archive,Arts And Culture,,,1991-05-05,,Downtown Jackson,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/40.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-525,"War on Hunger: A Report from the Agency for International Development, May 1976",Archive,Community and Professional Life,,,1976-05,,Geographies To Be Confirmed,Rights Unknown,Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/53.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
high,SRM-2026-530,"Dedication plaque for B. Baldwin Dansby Hall, May 22, 1951",Artifact,African American Education,B. Baldwin Dansby Collection,B. Baldwin Dansby,1951-05-22,,Jackson State University Campus,"Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dansby.zip item 2.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
high,SRM-2026-538,"Studio portrait of B. Baldwin Dansby with patterned tie, undated",Photograph,Portraiture and Community Memory,B. Baldwin Dansby Collection,B. Baldwin Dansby,undated,,"Jackson, Mississippi","Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dansby.zip item 10.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
high,SRM-2026-543,"Full-length portrait of Dr. B. Baldwin Dansby, December 17, 1950",Photograph,Portraiture and Community Memory,B. Baldwin Dansby Collection,B. Baldwin Dansby,1950-12-17,,"Jackson, Mississippi","Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dansby.zip item 15.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
high,SRM-2026-554,"Prentiss Normal and Industrial Institute letter requesting biographical sketch from B. B. Dansby, April 3, 1967",Archive,African American Education,B. Baldwin Dansby Collection,B. Baldwin Dansby; J. E. Johnson,1967-04-03,,"Prentiss, Mississippi","Rights reserved, contact Smith Robertson",Ambiguous metadata language: confirm; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dansby.zip item 26.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
high,SRM-2026-570,"Portrait of unidentified older woman in sequined heart sweater, undated",Photograph,Family And Local Life,Photograph Collection,unidentified woman,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Unidentified subject in title; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Freedom Day Celebration 1991.zip item 1.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
high,SRM-2026-575,"Portrait photograph of unidentified man in pinstripe suit, undated",Photograph,Portraiture and Community Memory,Photograph Collection,unidentified man,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Unidentified subject in title; Missing donor; Condition still marked Needs Review; Status still marked Needs Review, or professional context.
high,SRM-2026-578,"Prentiss Institute honorary Doctor of Humanities degree for Mary Augusta Rayford Collins, May 21, 1967",Archive,African American Education,Biographical and Civic History Collection,Mary Augusta Rayford Collins,1967-05-21,,"Prentiss, Mississippi","Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Freedom Day Celebration 1991.zip item 9.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
high,SRM-2026-585,"Jackson City Hall building photograph, undated",Photograph,Civic Leadership,Civic Leadership Collection,,undated,,Downtown Jackson,"Rights reserved, contact Smith Robertson",No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Freedom Day Celebration 1991.zip item 16.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
high,SRM-2026-588,"Greyhound bus station building photograph, undated",Photograph,Community and Professional Life,Photograph Collection,,undated,,Downtown Jackson,"Rights reserved, contact Smith Robertson",No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Freedom Day Celebration 1991.zip item 19.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
high,SRM-2026-592,"Miles Memorial College Junior College Department diploma for Ruth C. Finch, May 25, 1925",Archive,African American Education,Dr. S. D. Redmond Collection,Ruth C. Finch,1925-05-25,,"Birmingham, Alabama","Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/4.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-596,"Pair of brass handbells, undated",Artifact,Material Culture and Interpretation,Dr. S. D. Redmond Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/8.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-612,"Christian Endeavor Society certificate for Charles H. Wilson, May 14, 1921",Archive,Community and Professional Life,Dr. S. D. Redmond Collection,Charles H. Wilson,1921-05-14,,"Tuskegee, Alabama","Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/24.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-614,"City of Jackson proclamation for Bob Moses Day, May 4, 2000",Archive,Civil Rights and Citizenship,Dr. S. D. Redmond Collection,Bob Moses; Harvey Johnson Jr.,2000-05-04,,"Jackson, Mississippi","Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/26.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-615,"Tuskegee Normal and Industrial Institute trade certificate in harness-making for Charles James Henry Wilson, May 26, 1921",Archive,Black Business and Professional Life,Dr. S. D. Redmond Collection,Charles James Henry Wilson,1921-05-26,,"Tuskegee, Alabama","Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/27.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-617,"Double portrait of an unidentified couple, undated",Photograph,Portraiture and Community Memory,Dr. S. D. Redmond Collection,unidentified woman; unidentified man,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Unidentified subject in title; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/29.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-629,"Portrait of an unidentified clergyman holding a diploma, undated",Photograph,Portraiture and Community Memory,Dr. S. D. Redmond Collection,unidentified clergyman,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Unidentified subject in title; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/41.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-630,"Group portrait of unidentified men with handwritten names on verso, undated",Photograph,Community and Professional Life,Dr. S. D. Redmond Collection,Henry Denton; Lee Williams; Prof. Beasley; H. T. Sampson; unidentified men,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Unidentified subject in title; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/42.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-632,"Mississippi Association of Life Underwriters sales congress group photograph, May 28, 1920",Photograph,Black Business and Professional Life,Dr. S. D. Redmond Collection,Mississippi Association of Life Underwriters,1920-05-28,,"Jackson, Mississippi","Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/44.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-640,"Duplicate photographic copy of physician’s birth certificate data for Carlyn Evelyn Baker, March 24, 1943",Archive,Midwives and Motherhood,Dr. S. D. Redmond Collection,Carlyn Evelyn Baker; Barbara Willis; Milton Baker,1943-03-24,,"Jackson, Mississippi","Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/52.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-643,"Residential building associated with the Perkins network, undated",Photograph,Community and Professional Life,John and Vera Mae Perkins Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/January 1971/3.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026."
high,SRM-2026-652,"Clasped hands detail, undated",Photograph,Family And Local Life,John and Vera Mae Perkins Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/January 1971/12.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026."
high,SRM-2026-657,"John M. Perkins with an older companion outdoors, undated",Photograph,Civic Leadership,John and Vera Mae Perkins Collection,John M. Perkins; unidentified man,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Ambiguous metadata language: may; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/January 1971/17.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026."
high,SRM-2026-679,"Presentation or exchange between community members, undated",Photograph,Community and Professional Life,John and Vera Mae Perkins Collection,unidentified adults,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Ambiguous metadata language: appears; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/January 1971/39.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026."
high,SRM-2026-699,"Woman preparing food beside a large pot, undated",Photograph,Family And Local Life,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (2.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-701,"Publicity portrait of an unidentified woman in ceremonial headpiece, undated",Photograph,Arts And Culture,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Unidentified subject in title; No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (4.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-703,"Portrait of an unidentified young man, undated",Photograph,Portraiture and Community Memory,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Unidentified subject in title; No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (6.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-704,"Faded family group portrait, undated",Photograph,Family And Local Life,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (7.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-711,"Uniformed youth group portrait with adult leader, undated",Photograph,African American Education,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (14.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-713,"Child seated on wooden house steps, undated",Photograph,Family And Local Life,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (16.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-716,"Close-up portrait of two unidentified adults outdoors, undated",Photograph,Portraiture and Community Memory,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Unidentified subject in title; No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (19.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026. Legacy accession label visible in image: 90.12.1."
high,SRM-2026-717,"Formal portrait of an unidentified man, undated",Photograph,Portraiture and Community Memory,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Unidentified subject in title; No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (20.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-726,"Portrait of an unidentified man with glasses and bow tie, undated",Photograph,Portraiture and Community Memory,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Unidentified subject in title; No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (29.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-732,"Profile portrait of an unidentified woman, undated",Photograph,Portraiture and Community Memory,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",Unidentified subject in title; No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (35.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-734,"Man standing in a field or work yard, undated",Photograph,Family And Local Life,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (37.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-738,"Man posed in a doorway or entryway, undated",Photograph,Portraiture and Community Memory,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (41.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-742,"Woman with children in a classroom or meeting space, undated",Photograph,African American Education,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (45.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-745,"Portrait of an infant or toddler, undated",Photograph,Portraiture and Community Memory,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (48.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
high,SRM-2026-746,"Man carrying a serving tray, undated",Photograph,Community and Professional Life,Youngs Collection,,undated,,Geographies To Be Confirmed,"Rights reserved, contact Smith Robertson",No named people on person-centered photograph; Missing donor; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Youngs.zip (49.png) on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
