accession_number,title,record_type,historical_theme,current_collection,proposed_collection,proposal_confidence,proposal_reason
SRM-2026-433,"Service, September 1943",Archive,Military Service,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-435,"Letter from Research Hospital to Sadie Poole, October 15, 1938",Archive,Midwives and Motherhood,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-439,"A Tribute To Mrs. Theressa Ruth Garrett Almore, 1907-1991",Archive,Faith And Community Life,,SRM Collection,low,Single faith/community item is better housed in the general SRM collection until a larger church cluster exists.
SRM-2026-443,"Campus Communicator, undated",Photograph,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-447,"The Reconciler, April 1978",Archive,Faith And Community Life,,SRM Collection,low,Single faith/community item is better housed in the general SRM collection until a larger church cluster exists.
SRM-2026-448,"The Monitor, September 1982",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-450,"Kommuni-K-Kwarterly, 1978",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-451,"Soul Force, February 1984",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-453,"Smith Robertson class collage, 1925",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-460,"Smith Robertson School register of former teachers, 1935–1937",Archive,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-463,"Commentary on Richard Wright’s Uncle Tom’s Children, undated",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-464,"United Methodist church on Farish Street, undated",Photograph,Faith And Community Life,,SRM Collection,low,Single faith/community item is better housed in the general SRM collection until a larger church cluster exists.
SRM-2026-473,Scott Ford Houses architectural elevation for 136 East Cohea Street,Archive,Midwives and Motherhood,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-474,Scott Ford Houses architectural elevation for 138 East Cohea Street,Archive,Midwives and Motherhood,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-476,"Those Who Stayed: A Collectanea, 1988-1989",Archive,Migration And Memory,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-479,"Women in Dentistry, Alpha Kappa Alpha Heritage Series No. 5, 1972",Archive,Black Health and Medicine,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-480,Mini guide for volunteers for Field to Factory: Afro-American Migration 1915-1940,Archive,Migration And Memory,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-481,"Our People dinner theatre program, September 15, 1989",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-482,"Forums and a symposium on The Impact of Black Migration from the Rural South to the Urban North, 1915 to the Present, Attachment A",Archive,Migration And Memory,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-483,"Field to Factory exhibition program, November 6, 1988",Archive,Migration And Memory,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-484,"Field to Factory study guide for the exhibition, undated",Archive,Migration And Memory,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-486,"Typed planning document related to Black migration forums, undated",Archive,Migration And Memory,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-487,"Black and White: The Art of H. J. Lewis, undated",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-488,"May Day 1963, Vertilla Anderson’s first grade class",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-489,"Jimmie Dale Law in striped jacket with first grade class, undated",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-490,"Smith Robertson teachers, March 1958",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-491,"Vertilla F. Anderson portrait with floral display, May 1964",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-492,"Betty Mencuree with first graders, May 1964",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-493,"Vertilla F. Anderson and class, May 1964",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-494,"Smith Robertson teachers group, March 1958",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-495,"Vertilla F. Anderson and first graders outside school, undated",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-496,May Day 1965 maypole at Robertson School,Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-497,"Vertilla F. Anderson first grade classroom, undated",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-498,"Teachers Vertilla Friar Anderson and Jimmye J. Bailey, undated",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-499,"May Day first grade class in costume, May 1964",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-501,"Smith Robertson class trip scene at the airport, undated",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-502,"At the zoo, May Day 1965, Robertson School",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-503,"At the airport with Clara Caston, Christa Hudson, Florence Aaron, Vertilla F. Anderson, and children, undated",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-504,"Smith Robertson first graders, undated",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-505,"Martin Luther King Jr. memorial gathering at Smith Robertson, undated",Photograph,Civil Rights and Citizenship,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-510,"Biographical page on Dr. S. A. Miller and Mrs. L. F. Miller, M.D., undated",Archive,Black Health and Medicine,,SRM Collection,low,Fallback general museum collection for currently unassigned material.
SRM-2026-511,"Jackson State University support letter for Smith Robertson museum development, February 1, 1984",Archive,Community and Professional Life,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-512,"Ten African American Artists at Smith Robertson opening program, May 5, 1991",Archive,Arts And Culture,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-513,"Arthur Hall Afro-American Dance Ensemble program, undated",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-523,"The Mississippi Panel Exhibit brochure, 1997-1999",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-775,"Lawrence A. Jones, Margaret Burroughs, and Karl Griffin seated together, undated",Photograph,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-777,"Exhibit installation or workroom scene with portrait display, undated",Photograph,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-784,"Charles H. Wilson posed in front of the school with students, undated",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-790,"Woman seated at a piano or organ, undated",Photograph,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-793,"Printed portrait of Richmond Barthe, undated",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-794,"Printed portrait of Mary Leontyne Price, undated",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-801,"Printed portrait of William Grant Still, undated",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-802,"Printed portrait of Robert Earl Jones, undated",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-803,"Printed portrait of Richmond Barthe, variant view, undated",Archive,Arts And Culture,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-804,"Advertising fan for OJ's Beauty Lotion and Coal Roller Pills, undated",Artifact,Community and Professional Life,,SRM Collection,medium,General museum object or arts/material item fits the broad SRM catchall.
SRM-2026-805,"Smith Robertson School building facade, undated",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-807,"Sports pin awarded to Prof. Luther Marshall, undated",Artifact,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-841,"Smith Robertson School 8th-grade class collage, 1925",Photograph,African American Education,,SRM Collection,high,Smith Robertson school or museum history item fits the redefined SRM Collection.
SRM-2026-434,"Arithmetic for Soldiers, 1942",Archive,Military Service,,WWII Soldiers Collection,high,Military portrait/material fits the existing WWII soldiers grouping.
SRM-2026-096,Bound scrapbook or notebook with inserted typed historical document,Archive,Civic Leadership,Archives Collection,Biographical and Civic History Collection,medium,Generic singleton archive bucket should fold into a stronger archive grouping.
SRM-2026-123,Portrait clipping of Virginia Scott (Scott Ford Houses),Archive,Portraiture and Community Memory,Biographical And Civic History Collection,Biographical and Civic History Collection,high,Capitalization variant of existing collection.
SRM-2026-028,Membership Directory of Historic Mount Helm Baptist Church 135th Anniversary Program,Archive,Faith And Community Life,Church and Community History Collection,SRM Collection,low,Single church history item does not yet justify a standalone collection.
SRM-R--1973-003,Ebony Magazine 1973 Feb-Aug,Artifact,Arts And Culture,Ebony magazines,Newspapers And Periodicals,high,Serial/magazine title should be absorbed into the broader newspapers grouping.
SRM-2026-049,Alcorn Agricultural and Mechanical College Eighty-Ninth Annual Commencement program,Archive,African American Education,Education Collection,Education and Public Memory Collection,high,Singleton education item fits the broader Education and Public Memory Collection.
SRM-2026-116,Alamo Theatre September 1976 promotional calendar,Archive,Arts And Culture,Farish Street Business District Collection,SRM Collection,low,Two-item micro-collection is too thin; Farish interpretation can be handled by theme/exhibit.
SRM-2026-582,"Farish Street YMCA group en route to youth conference, undated",Photograph,Community and Professional Life,Farish Street Business District Collection,SRM Collection,low,Two-item micro-collection is too thin; Farish interpretation can be handled by theme/exhibit.
SRM-R--1976-005,Jackson Advocate 1976-2005,Artifact,Arts And Culture,Jackson advocate,Newspapers And Periodicals,high,Serial/newspaper title should be absorbed into the broader newspapers grouping.
SRM-R--2008-002,Jackson Advocate 2008,Artifact,Arts And Culture,Jackson Advocate,Newspapers And Periodicals,high,Serial/newspaper title should be absorbed into the broader newspapers grouping.
SRM-R--2013-001,Jackson Advocate 2013,Newspaper / Periodical,Arts And Culture,Jackson Advocate,Newspapers And Periodicals,high,Serial/newspaper title should be absorbed into the broader newspapers grouping.
SRM-2026-032,Fragmentary clipping about Wilson Brown and the Medal of Honor,Archive,Military Service,Military and Civic History Collection,WWII Soldiers Collection,medium,Singleton military/civic bucket should fold into a stronger existing collection.
SRM-R--2026-008,MS link 1994-1995,Artifact,Arts And Culture,MS Link,Newspapers And Periodicals,high,Periodical title works better in the broader newspapers grouping.
SRM-2026-080,Inventory of Jerry and Sue Whitt donation,Archive,Arts And Culture,Museum Administrative Records,SRM Collection,medium,Administrative museum item fits better in the general SRM collection.
SRM-2026-114,Leather portfolio embossed for Dr. Margaret Walker Alexander,Artifact,Arts And Culture,Personal Papers And Memorabilia,Biographical and Civic History Collection,medium,Single personal item fits better with broader biographical holdings.
SRM-2026-054,"Democratic National Convention reserved section ticket, August 24, 1964",Archive,Civil Rights and Citizenship,Political History Collection,Civil Rights Collection,high,Singleton political item fits the stronger civil-rights grouping.
SRM-P-2026-004,Photo Prof. Luther Marshall,Photograph,African American Education,Smith Robertson,SRM Collection,medium,Current label is a variant of Smith Robertson school/museum history and should be normalized into SRM Collection.
SRM-R--2026-006,Field to Factory Slides and Videos,Artifact,African American Education,Smith Robertson,SRM Collection,medium,Current label is a variant of Smith Robertson school/museum history and should be normalized into SRM Collection.
SRM-R--2026-009,Field to Factory Art Box,Exhibit,African American Education,Smith robinson,SRM Collection,high,Current label is a variant of Smith Robertson school/museum history and should be normalized into SRM Collection.
SRM-P--1990-013,Mounted reproductions of Smith Robertson School exterior views,Photograph,African American Education,SR,SRM Collection,medium,Current label is a variant of Smith Robertson school/museum history and should be normalized into SRM Collection.
SRM-P-1955-012,"Portrait photograph of A.N. Jackson, principal",Artifact,African American Education,SR,SRM Collection,medium,Current label is a variant of Smith Robertson school/museum history and should be normalized into SRM Collection.
SRM-P-1960-020,Smith Robinson School Sunday Evening Meeting,Photograph,African American Education,SR,SRM Collection,medium,Current label is a variant of Smith Robertson school/museum history and should be normalized into SRM Collection.
SRM-P-1971- 015,"Portrait photograph of L.V. Randolph, principal",Photograph,African American Education,SR,SRM Collection,medium,Current label is a variant of Smith Robertson school/museum history and should be normalized into SRM Collection.
SRM-P-2026-010,"Photo of Charles S. Wilson, SR Principal",Artifact,African American Education,SR,SRM Collection,medium,Current label is a variant of Smith Robertson school/museum history and should be normalized into SRM Collection.
SRM-P-2026-011,Portrait photograph of Principal James Gooden,Photograph,African American Education,SR,SRM Collection,medium,Current label is a variant of Smith Robertson school/museum history and should be normalized into SRM Collection.
SRM-P-c.1950- 018,Portrait photograph of Richard Wright,Photograph,Arts And Culture,SR,SRM Collection,medium,Current label is a variant of Smith Robertson school/museum history and should be normalized into SRM Collection.
SRM-P-c.1970- 017,Smith Robertson Under Construction,Photograph,African American Education,SR,SRM Collection,medium,Current label is a variant of Smith Robertson school/museum history and should be normalized into SRM Collection.
SRM-R--c.1900-019,Photo of Smith Robertson,Artifact,African American Education,SR,SRM Collection,medium,Current label is a variant of Smith Robertson school/museum history and should be normalized into SRM Collection.
